player,games_played,seasons_played,pos_mapped,avg_ts_percent,avg_per,avg_mpg,avg_x3p_ar,avg_orb_percent,avg_drb_percent,avg_ast_percent,avg_stl_percent,avg_blk_percent,avg_tov_percent,avg_usg_percent,avg_ows_48,avg_dws_48,avg_obpm,avg_dbpm,avg_bpm,avg_vorp,max_ts_percent,max_per,max_mpg,max_x3p_ar,max_orb_percent,max_drb_percent,max_ast_percent,max_stl_percent,max_blk_percent,max_tov_percent,max_usg_percent,max_ows_48,max_dws_48,max_obpm,max_dbpm,max_bpm,max_vorp,cluster_label,ALL_NBA_total,ALL_DEF_total,1T_ALL_NBA_total,2T_ALL_NBA_total,3T_ALL_NBA_total,1T_ALL_DEF_total,2T_ALL_DEF_total,DPOY_total,MIP_total,MVP_total,ROY_total,SMOY_total
Toney Douglas,320,5,1.2,-0.092,-0.252,-0.656,1.152,-0.55,-0.86,0.44,1.162,-0.917,-0.248,-0.019,0.112,-0.741,-0.073,-0.092,-0.093,-0.305,0.682,0.19,-0.027,1.411,-0.332,-0.539,0.67,2.037,-0.715,0.207,0.234,0.66,-0.155,0.555,0.382,0.263,0.105,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hasheem Thabeet,181,3,5.0,0.652,-1.144,-1.666,-1.097,1.14,0.626,-1.266,-0.345,2.678,2.281,-1.889,-0.693,1.124,-1.821,1.525,-0.974,-0.694,1.792,-0.381,-1.409,-1.014,1.534,1.139,-1.26,0.533,4.203,2.501,-1.826,-0.16,1.798,-1.26,2.088,-0.339,-0.563,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Skiles,577,8,1.0,0.364,-0.068,0.336,1.36,-1.339,-0.896,1.935,-0.362,-0.886,1.515,-0.164,0.245,-1.314,0.407,-1.128,-0.115,-0.092,1.37,0.905,1.638,2.08,-1.147,-0.592,2.244,0.299,-0.75,2.81,0.526,1.09,-0.548,1.315,-0.637,0.809,0.898,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chris Kaman,617,9,5.0,-0.151,0.096,0.333,-1.078,0.862,1.621,-0.606,-1.226,1.232,0.884,0.514,-0.953,0.648,-0.58,-0.118,-0.596,-0.63,0.915,0.742,1.329,-0.96,1.608,2.772,0.048,-0.886,2.775,2.649,1.676,-0.247,1.223,-0.181,1.043,0.248,0.068,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Rodríguez,353,5,1.0,-1.053,-0.466,-1.121,0.571,-0.712,-0.999,2.327,1.012,-0.937,2.293,0.071,-1.017,-0.67,-0.221,-1.001,-0.604,-0.635,0.295,0.091,-0.22,0.84,-0.365,-0.731,3.002,1.656,-0.807,2.935,0.501,-0.418,-0.13,0.36,-0.467,-0.234,-0.495,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Richardson,805,11,2.091,0.012,0.457,1.076,0.772,-0.478,-0.419,0.017,0.187,-0.431,-1.009,0.844,0.274,-0.594,0.868,-0.466,0.598,0.675,0.75,1.104,1.465,1.158,-0.301,0.229,0.617,0.585,-0.059,-0.478,1.627,1.069,0.326,1.467,0.354,1.231,1.726,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Burke,429,7,1.0,-1.109,-0.451,-0.588,0.201,-0.898,-1.333,0.858,-0.353,-0.876,-0.491,0.724,-0.461,-1.129,-0.168,-1.333,-0.705,-0.614,-0.375,0.349,0.949,0.601,-0.607,-1.012,1.731,0.724,-0.687,0.807,1.181,0.124,-0.335,0.697,-0.402,0.073,-0.268,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Aguirre,884,12,3.0,0.113,1.104,0.621,0.453,0.039,-0.283,0.245,-0.682,-0.504,-0.816,1.965,0.663,-0.521,1.182,-0.835,0.688,0.63,0.826,2.538,1.448,1.109,0.399,0.012,0.748,-0.045,-0.043,-0.308,2.946,1.802,0.705,2.533,0.198,1.862,2.377,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Scott,575,8,2.875,0.045,-0.238,0.418,2.042,-1.098,-0.84,-0.305,-0.339,-0.534,-1.371,0.214,0.246,-0.843,0.535,-0.57,0.228,0.086,1.125,0.572,1.278,2.38,-0.992,-0.722,-0.104,0.189,-0.262,-0.754,1.059,1.531,-0.265,1.491,-0.029,1.101,1.299,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Engler,154,3,5.0,-1.924,-2.099,-1.984,-0.684,0.849,1.185,-1.164,-0.842,0.038,1.288,-1.227,-1.426,-0.895,-2.325,-0.592,-2.426,-0.972,-0.773,-1.786,-1.818,-0.65,1.653,1.548,-0.92,-0.626,0.996,2.045,-1.04,-1.426,-0.895,-1.946,-0.449,-1.953,-0.81,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
