,player_id,player,games_played,seasons_played,avg_ts_percent,avg_per,avg_mpg,avg_x3p_ar,avg_orb_percent,avg_drb_percent,avg_ast_percent,avg_stl_percent,avg_blk_percent,avg_tov_percent,avg_usg_percent,avg_ows_48,avg_dws_48,avg_obpm,avg_dbpm,avg_bpm,avg_vorp,max_ts_percent,max_per,max_mpg,max_x3p_ar,max_orb_percent,max_drb_percent,max_ast_percent,max_stl_percent,max_blk_percent,max_tov_percent,max_usg_percent,max_ows_48,max_dws_48,max_obpm,max_dbpm,max_bpm,max_vorp,ALL_NBA_total,ALL_DEF_total,1T_ALL_NBA_total,2T_ALL_NBA_total,3T_ALL_NBA_total,1T_ALL_DEF_total,2T_ALL_DEF_total,DPOY_total,MIP_total,MVP_total,ROY_total,SMOY_total
0,2338,Scott Skiles,577,8,0.364,-0.068,0.336,1.36,-1.339,-0.896,1.935,-0.362,-0.886,1.515,-0.164,0.245,-1.314,0.407,-1.128,-0.115,-0.092,1.37,0.905,1.638,2.08,-1.147,-0.592,2.244,0.299,-0.75,2.81,0.526,1.09,-0.548,1.315,-0.637,0.809,0.898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,3399,Lonny Baxter,158,3,-0.153,-0.536,-1.462,-0.973,1.37,0.806,-1.152,-0.817,0.388,0.112,-0.269,-0.495,0.284,-1.251,-0.657,-1.391,-0.823,0.133,-0.434,-1.34,-0.91,1.935,1.241,-1.046,-0.081,0.724,0.366,0.074,-0.388,1.018,-1.142,0.015,-1.088,-0.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3437,Chris Kaman,617,9,-0.151,0.096,0.333,-1.078,0.862,1.621,-0.606,-1.226,1.232,0.884,0.514,-0.953,0.648,-0.58,-0.118,-0.596,-0.63,0.915,0.742,1.329,-0.96,1.608,2.772,0.048,-0.886,2.775,2.649,1.676,-0.247,1.223,-0.181,1.043,0.248,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3632,Rashad McCants,212,3,-0.082,-0.199,-0.473,0.824,-0.819,-0.91,-0.256,0.498,-0.4,-0.208,1.159,-0.823,-0.86,-0.007,-0.881,-0.377,-0.47,0.32,0.072,0.173,0.869,-0.716,-0.877,0.029,1.018,-0.26,0.363,1.471,-0.536,-0.01,0.447,-0.341,-0.136,-0.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3879,Hasheem Thabeet,181,3,0.652,-1.144,-1.666,-1.097,1.14,0.626,-1.266,-0.345,2.678,2.281,-1.889,-0.693,1.124,-1.821,1.525,-0.974,-0.694,1.792,-0.381,-1.409,-1.014,1.534,1.139,-1.26,0.533,4.203,2.501,-1.826,-0.16,1.798,-1.26,2.088,-0.339,-0.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3908,Toney Douglas,320,5,-0.092,-0.252,-0.656,1.152,-0.55,-0.86,0.44,1.162,-0.917,-0.248,-0.019,0.112,-0.741,-0.073,-0.092,-0.093,-0.305,0.682,0.19,-0.027,1.411,-0.332,-0.539,0.67,2.037,-0.715,0.207,0.234,0.66,-0.155,0.555,0.382,0.263,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2736,Marlon Maxey,98,2,1.376,0.356,-1.45,-0.785,2.241,1.549,-1.24,-0.781,1.023,0.447,-0.099,0.251,-0.2,-0.403,-1.381,-0.927,-0.7,1.641,0.448,-1.381,-0.773,2.454,1.587,-1.161,-0.713,1.435,0.483,0.23,0.424,0.092,-0.184,-0.822,-0.89,-0.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2125,Jim Thomas,152,2,-0.36,-0.379,-0.315,0.217,-0.622,-0.701,0.123,0.462,-0.801,-0.556,-0.248,-0.318,-0.275,-0.333,0.053,-0.269,-0.441,-0.067,-0.256,0.16,0.434,-0.395,-0.555,0.182,0.883,-0.728,-0.495,-0.192,-0.007,-0.013,-0.204,0.191,-0.188,-0.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021,Mark Aguirre,884,12,0.113,1.104,0.621,0.453,0.039,-0.283,0.245,-0.682,-0.504,-0.816,1.965,0.663,-0.521,1.182,-0.835,0.688,0.63,0.826,2.538,1.448,1.109,0.399,0.012,0.748,-0.045,-0.043,-0.308,2.946,1.802,0.705,2.533,0.198,1.862,2.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3323,Jason Richardson,805,11,0.012,0.457,1.076,0.772,-0.478,-0.419,0.017,0.187,-0.431,-1.009,0.844,0.274,-0.594,0.868,-0.466,0.598,0.675,0.75,1.104,1.465,1.158,-0.301,0.229,0.617,0.585,-0.059,-0.478,1.627,1.069,0.326,1.467,0.354,1.231,1.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
